"id_number","id_label","hatchery","run","release","region","subregion","group","lon","lat","year","females_spawned","fecundity","source"
1,"Solduc Spring","Solduc","Spring","subyearling and yearling","Coast","N. Washington Coast","Coast Spring",-124.306051142834,48.0555039480124,1995,208,4009.61538461538,"wdfw"
1,"Solduc Spring","Solduc","Spring","subyearling and yearling","Coast","N. Washington Coast","Coast Spring",-124.306051142834,48.0555039480124,1996,98,3596.9387755102,"wdfw"
1,"Solduc Spring","Solduc","Spring","subyearling and yearling","Coast","N. Washington Coast","Coast Spring",-124.306051142834,48.0555039480124,1997,66,3287.87878787879,"wdfw"
1,"Solduc Spring","Solduc","Spring","subyearling and yearling","Coast","N. Washington Coast","Coast Spring",-124.306051142834,48.0555039480124,1998,66,3969.69696969697,"wdfw"
1,"Solduc Spring","Solduc","Spring","subyearling and yearling","Coast","N. Washington Coast","Coast Spring",-124.306051142834,48.0555039480124,1999,64,3984.375,"wdfw"
1,"Solduc Spring","Solduc","Spring","subyearling and yearling","Coast","N. Washington Coast","Coast Spring",-124.306051142834,48.0555039480124,2000,55,4503.63636363636,"wdfw"
1,"Solduc Spring","Solduc","Spring","subyearling and yearling","Coast","N. Washington Coast","Coast Spring",-124.306051142834,48.0555039480124,2001,60,3966.66666666667,"wdfw"
1,"Solduc Spring","Solduc","Spring","subyearling and yearling","Coast","N. Washington Coast","Coast Spring",-124.306051142834,48.0555039480124,2002,58,4154.8275862069,"wdfw"
1,"Solduc Spring","Solduc","Spring","subyearling and yearling","Coast","N. Washington Coast","Coast Spring",-124.306051142834,48.0555039480124,2003,70,4254.28571428571,"wdfw"
1,"Solduc Spring","Solduc","Spring","subyearling and yearling","Coast","N. Washington Coast","Coast Spring",-124.306051142834,48.0555039480124,2004,69,3685.50724637681,"wdfw"
1,"Solduc Spring","Solduc","Spring","subyearling and yearling","Coast","N. Washington Coast","Coast Spring",-124.306051142834,48.0555039480124,2005,66,3853.0303030303,"wdfw"
1,"Solduc Spring","Solduc","Spring","subyearling and yearling","Coast","N. Washington Coast","Coast Spring",-124.306051142834,48.0555039480124,2007,118,3991.52542372881,"wdfw"
2,"Forks Creek Fall","Forks Creek","Fall","subyearling","Coast","Willapa Bay","Coast Fall",-123.594870503724,46.5580453090346,1995,1789,3753.49357182784,"wdfw"
2,"Forks Creek Fall","Forks Creek","Fall","subyearling","Coast","Willapa Bay","Coast Fall",-123.594870503724,46.5580453090346,1996,2254,3816.32653061224,"wdfw"
2,"Forks Creek Fall","Forks Creek","Fall","subyearling","Coast","Willapa Bay","Coast Fall",-123.594870503724,46.5580453090346,1997,910,3957.14285714286,"wdfw"
2,"Forks Creek Fall","Forks Creek","Fall","subyearling","Coast","Willapa Bay","Coast Fall",-123.594870503724,46.5580453090346,1998,826,4331.7191283293,"wdfw"
2,"Forks Creek Fall","Forks Creek","Fall","subyearling","Coast","Willapa Bay","Coast Fall",-123.594870503724,46.5580453090346,1999,711,3526.01969057665,"wdfw"
2,"Forks Creek Fall","Forks Creek","Fall","subyearling","Coast","Willapa Bay","Coast Fall",-123.594870503724,46.5580453090346,2000,1046,3825.04780114723,"wdfw"
2,"Forks Creek Fall","Forks Creek","Fall","subyearling","Coast","Willapa Bay","Coast Fall",-123.594870503724,46.5580453090346,2001,1123,3960.81923419412,"wdfw"
2,"Forks Creek Fall","Forks Creek","Fall","subyearling","Coast","Willapa Bay","Coast Fall",-123.594870503724,46.5580453090346,2002,848,3662.3820754717,"wdfw"
2,"Forks Creek Fall","Forks Creek","Fall","subyearling","Coast","Willapa Bay","Coast Fall",-123.594870503724,46.5580453090346,2003,809,3568.60321384425,"wdfw"
2,"Forks Creek Fall","Forks Creek","Fall","subyearling","Coast","Willapa Bay","Coast Fall",-123.594870503724,46.5580453090346,2004,1311,4192.21967963387,"wdfw"
2,"Forks Creek Fall","Forks Creek","Fall","subyearling","Coast","Willapa Bay","Coast Fall",-123.594870503724,46.5580453090346,2005,1218,4120.68965517241,"wdfw"
2,"Forks Creek Fall","Forks Creek","Fall","subyearling","Coast","Willapa Bay","Coast Fall",-123.594870503724,46.5580453090346,2006,1306,4150.84226646248,"wdfw"
