"id_number","id_label","hatchery","run","region","group","lon","lat","year","sex","age","N","length_mean","source"
23,"Carson NFH Spring","Carson NFH","Spring","Lower Columbia","Lower Columbia Spring",-121.9739,45.86791,1995,"Male",3,78,529,"usfws"
23,"Carson NFH Spring","Carson NFH","Spring","Lower Columbia","Lower Columbia Spring",-121.9739,45.86791,1995,"Male",4,178,815,"usfws"
23,"Carson NFH Spring","Carson NFH","Spring","Lower Columbia","Lower Columbia Spring",-121.9739,45.86791,1995,"Male",5,52,959,"usfws"
23,"Carson NFH Spring","Carson NFH","Spring","Lower Columbia","Lower Columbia Spring",-121.9739,45.86791,1995,"Female",4,174,777,"usfws"
23,"Carson NFH Spring","Carson NFH","Spring","Lower Columbia","Lower Columbia Spring",-121.9739,45.86791,1995,"Female",5,57,902,"usfws"
23,"Carson NFH Spring","Carson NFH","Spring","Lower Columbia","Lower Columbia Spring",-121.9739,45.86791,1996,"Male",3,6,532,"usfws"
23,"Carson NFH Spring","Carson NFH","Spring","Lower Columbia","Lower Columbia Spring",-121.9739,45.86791,1996,"Male",4,359,796,"usfws"
23,"Carson NFH Spring","Carson NFH","Spring","Lower Columbia","Lower Columbia Spring",-121.9739,45.86791,1996,"Male",5,16,960,"usfws"
23,"Carson NFH Spring","Carson NFH","Spring","Lower Columbia","Lower Columbia Spring",-121.9739,45.86791,1996,"Female",4,672,765,"usfws"
23,"Carson NFH Spring","Carson NFH","Spring","Lower Columbia","Lower Columbia Spring",-121.9739,45.86791,1996,"Female",5,16,849,"usfws"
23,"Carson NFH Spring","Carson NFH","Spring","Lower Columbia","Lower Columbia Spring",-121.9739,45.86791,1997,"Male",3,1,560,"usfws"
23,"Carson NFH Spring","Carson NFH","Spring","Lower Columbia","Lower Columbia Spring",-121.9739,45.86791,1997,"Male",4,320,815,"usfws"
23,"Carson NFH Spring","Carson NFH","Spring","Lower Columbia","Lower Columbia Spring",-121.9739,45.86791,1997,"Male",5,58,957,"usfws"
23,"Carson NFH Spring","Carson NFH","Spring","Lower Columbia","Lower Columbia Spring",-121.9739,45.86791,1997,"Female",4,530,774,"usfws"
23,"Carson NFH Spring","Carson NFH","Spring","Lower Columbia","Lower Columbia Spring",-121.9739,45.86791,1997,"Female",5,92,897,"usfws"
23,"Carson NFH Spring","Carson NFH","Spring","Lower Columbia","Lower Columbia Spring",-121.9739,45.86791,1998,"Male",3,14,505,"usfws"
23,"Carson NFH Spring","Carson NFH","Spring","Lower Columbia","Lower Columbia Spring",-121.9739,45.86791,1998,"Male",4,160,781,"usfws"
23,"Carson NFH Spring","Carson NFH","Spring","Lower Columbia","Lower Columbia Spring",-121.9739,45.86791,1998,"Male",5,243,949,"usfws"
23,"Carson NFH Spring","Carson NFH","Spring","Lower Columbia","Lower Columbia Spring",-121.9739,45.86791,1998,"Female",4,240,745,"usfws"
23,"Carson NFH Spring","Carson NFH","Spring","Lower Columbia","Lower Columbia Spring",-121.9739,45.86791,1998,"Female",5,270,878,"usfws"
23,"Carson NFH Spring","Carson NFH","Spring","Lower Columbia","Lower Columbia Spring",-121.9739,45.86791,1999,"Male",3,12,519,"usfws"
23,"Carson NFH Spring","Carson NFH","Spring","Lower Columbia","Lower Columbia Spring",-121.9739,45.86791,1999,"Male",4,134,798,"usfws"
23,"Carson NFH Spring","Carson NFH","Spring","Lower Columbia","Lower Columbia Spring",-121.9739,45.86791,1999,"Male",5,10,942,"usfws"
23,"Carson NFH Spring","Carson NFH","Spring","Lower Columbia","Lower Columbia Spring",-121.9739,45.86791,1999,"Female",4,234,767,"usfws"
23,"Carson NFH Spring","Carson NFH","Spring","Lower Columbia","Lower Columbia Spring",-121.9739,45.86791,1999,"Female",5,9,896,"usfws"
23,"Carson NFH Spring","Carson NFH","Spring","Lower Columbia","Lower Columbia Spring",-121.9739,45.86791,2000,"Male",3,31,536,"usfws"
23,"Carson NFH Spring","Carson NFH","Spring","Lower Columbia","Lower Columbia Spring",-121.9739,45.86791,2000,"Male",4,382,786,"usfws"
23,"Carson NFH Spring","Carson NFH","Spring","Lower Columbia","Lower Columbia Spring",-121.9739,45.86791,2000,"Male",5,23,959,"usfws"
23,"Carson NFH Spring","Carson NFH","Spring","Lower Columbia","Lower Columbia Spring",-121.9739,45.86791,2000,"Female",3,3,587,"usfws"
23,"Carson NFH Spring","Carson NFH","Spring","Lower Columbia","Lower Columbia Spring",-121.9739,45.86791,2000,"Female",4,747,752,"usfws"
23,"Carson NFH Spring","Carson NFH","Spring","Lower Columbia","Lower Columbia Spring",-121.9739,45.86791,2000,"Female",5,23,883,"usfws"
23,"Carson NFH Spring","Carson NFH","Spring","Lower Columbia","Lower Columbia Spring",-121.9739,45.86791,2001,"Male",3,3,527,"usfws"
23,"Carson NFH Spring","Carson NFH","Spring","Lower Columbia","Lower Columbia Spring",-121.9739,45.86791,2001,"Male",4,41,823,"usfws"
23,"Carson NFH Spring","Carson NFH","Spring","Lower Columbia","Lower Columbia Spring",-121.9739,45.86791,2001,"Male",5,2,1025,"usfws"
23,"Carson NFH Spring","Carson NFH","Spring","Lower Columbia","Lower Columbia Spring",-121.9739,45.86791,2001,"Female",4,78,776,"usfws"
23,"Carson NFH Spring","Carson NFH","Spring","Lower Columbia","Lower Columbia Spring",-121.9739,45.86791,2001,"Female",5,3,857,"usfws"
23,"Carson NFH Spring","Carson NFH","Spring","Lower Columbia","Lower Columbia Spring",-121.9739,45.86791,2002,"Male",3,10,502,"usfws"
23,"Carson NFH Spring","Carson NFH","Spring","Lower Columbia","Lower Columbia Spring",-121.9739,45.86791,2002,"Male",4,278,791,"usfws"
23,"Carson NFH Spring","Carson NFH","Spring","Lower Columbia","Lower Columbia Spring",-121.9739,45.86791,2002,"Male",5,13,962,"usfws"
23,"Carson NFH Spring","Carson NFH","Spring","Lower Columbia","Lower Columbia Spring",-121.9739,45.86791,2002,"Female",3,1,590,"usfws"
23,"Carson NFH Spring","Carson NFH","Spring","Lower Columbia","Lower Columbia Spring",-121.9739,45.86791,2002,"Female",4,492,751,"usfws"
